,lot_number,miles,transmission,fuel,drive,name,make,year,auction
120,64718284,20.025,Automatic,Gas,All,2023 BMW X1 XDRIVE28I,BMW,2023,FL - MIAMI CENTRAL
121,65394004,111.021,Automatic,Gas,Front-wheel,2015 CHEVROLET SONIC LTZ,Chevrolet,2015,PA - SCRANTON
122,65981374,129.586,Automatic,Gas,4x4,2017 FORD ESCAPE TITANIUM,Ford,2017,MT - HELENA
123,66156504,80.876,Automatic,Gas,All,2021 SUBARU IMPREZA PREMIUM,Subaru,2021,NC - MEBANE
124,66624664,32.11,Automatic,Gas,All,2022 LAND ROVER RANGE ROVER SPORT HSE SILVER EDITION,Land,2022,FL - MIAMI CENTRAL
125,66624724,28.07,Automatic,Gas,Front-wheel,2023 TOYOTA HIGHLANDER L,Toyota,2023,FL - MIAMI CENTRAL
126,67109364,131.42,Automatic,Flexible,Rear-wheel,2016 CHRYSLER 300 S,Chrysler,2016,AL - MONTGOMERY
127,67420444,26.949,Automatic,Gas,Front-wheel,2023 TOYOTA COROLLA CROSS LE,Toyota,2023,FL - MIAMI CENTRAL
128,67800724,32.64,Automatic,Gas,Front-wheel,2023 NISSAN SENTRA SV,Nissan,2023,NJ - GLASSBORO WEST
129,67891414,118.029,Automatic,Gas,Front-wheel,2018 HYUNDAI SONATA SE,Hyundai,2018,TN - MEMPHIS
130,67980054,26.841,Automatic,Gas,All,2024 MAZDA CX-90 PREFERRED PLUS,Mazda,2024,FL - ORLANDO SOUTH
131,67980164,58.841,Automatic,Flexible,Front-wheel,2022 CHRYSLER PACIFICA TOURING L,Chrysler,2022,FL - ORLANDO SOUTH
132,68150174,27.089,Automatic,Gas,All,2023 TOYOTA RAV4 XLE,Toyota,2023,NJ - GLASSBORO WEST
133,68150214,22.088,Automatic,Gas,Front-wheel,2024 VOLKSWAGEN ATLAS SE,Volkswagen,2024,FL - ORLANDO SOUTH
134,68150264,30.035,Automatic,Gas,Front-wheel,2023 TOYOTA CAMRY LE,Toyota,2023,NJ - GLASSBORO WEST
135,68150274,25.867,Automatic,Gas,All,2023 TOYOTA COROLLA CROSS LE,Toyota,2023,NJ - GLASSBORO WEST
136,68374504,88.904,Automatic,Flexible,Rear-wheel,2020 DODGE CHALLENGER SXT,Dodge,2020,AL - BIRMINGHAM
137,68391144,32.195,Automatic,Gas,All,2023 MAZDA CX-30 PREFERRED,Mazda,2023,NJ - GLASSBORO WEST
138,68391154,26.627,Automatic,Gas,Front-wheel,2023 CHEVROLET TRAILBLAZER LT,Chevrolet,2023,NJ - GLASSBORO WEST
139,68391194,31.475,Automatic,Gas,Front-wheel,2023 TOYOTA CAMRY LE,Toyota,2023,NJ - GLASSBORO WEST
140,64718284,20.025,Automatic,Gas,All,2023 BMW X1 XDRIVE28I,BMW,2023,FL - MIAMI CENTRAL
141,65394004,111.021,Automatic,Gas,Front-wheel,2015 CHEVROLET SONIC LTZ,Chevrolet,2015,PA - SCRANTON
142,65981374,129.586,Automatic,Gas,4x4,2017 FORD ESCAPE TITANIUM,Ford,2017,MT - HELENA
143,66156504,80.876,Automatic,Gas,All,2021 SUBARU IMPREZA PREMIUM,Subaru,2021,NC - MEBANE
144,66624664,32.11,Automatic,Gas,All,2022 LAND ROVER RANGE ROVER SPORT HSE SILVER EDITION,Land,2022,FL - MIAMI CENTRAL
145,66624724,28.07,Automatic,Gas,Front-wheel,2023 TOYOTA HIGHLANDER L,Toyota,2023,FL - MIAMI CENTRAL
146,67109364,131.42,Automatic,Flexible,Rear-wheel,2016 CHRYSLER 300 S,Chrysler,2016,AL - MONTGOMERY
147,67420444,26.949,Automatic,Gas,Front-wheel,2023 TOYOTA COROLLA CROSS LE,Toyota,2023,FL - MIAMI CENTRAL
148,67800724,32.64,Automatic,Gas,Front-wheel,2023 NISSAN SENTRA SV,Nissan,2023,NJ - GLASSBORO WEST
149,67891414,118.029,Automatic,Gas,Front-wheel,2018 HYUNDAI SONATA SE,Hyundai,2018,TN - MEMPHIS
150,67980054,26.841,Automatic,Gas,All,2024 MAZDA CX-90 PREFERRED PLUS,Mazda,2024,FL - ORLANDO SOUTH
151,67980164,58.841,Automatic,Flexible,Front-wheel,2022 CHRYSLER PACIFICA TOURING L,Chrysler,2022,FL - ORLANDO SOUTH
152,68150174,27.089,Automatic,Gas,All,2023 TOYOTA RAV4 XLE,Toyota,2023,NJ - GLASSBORO WEST
153,68150214,22.088,Automatic,Gas,Front-wheel,2024 VOLKSWAGEN ATLAS SE,Volkswagen,2024,FL - ORLANDO SOUTH
154,68150264,30.035,Automatic,Gas,Front-wheel,2023 TOYOTA CAMRY LE,Toyota,2023,NJ - GLASSBORO WEST
155,68150274,25.867,Automatic,Gas,All,2023 TOYOTA COROLLA CROSS LE,Toyota,2023,NJ - GLASSBORO WEST
156,68374504,88.904,Automatic,Flexible,Rear-wheel,2020 DODGE CHALLENGER SXT,Dodge,2020,AL - BIRMINGHAM
157,68391144,32.195,Automatic,Gas,All,2023 MAZDA CX-30 PREFERRED,Mazda,2023,NJ - GLASSBORO WEST
158,68391154,26.627,Automatic,Gas,Front-wheel,2023 CHEVROLET TRAILBLAZER LT,Chevrolet,2023,NJ - GLASSBORO WEST
159,68391194,31.475,Automatic,Gas,Front-wheel,2023 TOYOTA CAMRY LE,Toyota,2023,NJ - GLASSBORO WEST
160,64718284,20.025,Automatic,Gas,All,2023 BMW X1 XDRIVE28I,BMW,2023,FL - MIAMI CENTRAL
161,65394004,111.021,Automatic,Gas,Front-wheel,2015 CHEVROLET SONIC LTZ,Chevrolet,2015,PA - SCRANTON
162,65981374,129.586,Automatic,Gas,4x4,2017 FORD ESCAPE TITANIUM,Ford,2017,MT - HELENA
163,66156504,80.876,Automatic,Gas,All,2021 SUBARU IMPREZA PREMIUM,Subaru,2021,NC - MEBANE
164,66624664,32.11,Automatic,Gas,All,2022 LAND ROVER RANGE ROVER SPORT HSE SILVER EDITION,Land,2022,FL - MIAMI CENTRAL
165,66624724,28.07,Automatic,Gas,Front-wheel,2023 TOYOTA HIGHLANDER L,Toyota,2023,FL - MIAMI CENTRAL
166,67109364,131.42,Automatic,Flexible,Rear-wheel,2016 CHRYSLER 300 S,Chrysler,2016,AL - MONTGOMERY
