,lot_number,miles,transmission,fuel,drive,name,make,year,auction
18,64718264,23.152,Automatic,Gas,Rear-wheel,2024 BMW X5 SDRIVE 40I,BMW,2024,FL - MIAMI CENTRAL
19,64718274,27.335,Automatic,Gas,All,2023 BMW X3 XDRIVE30I,BMW,2023,FL - MIAMI CENTRAL
20,64718284,20.025,Automatic,Gas,All,2023 BMW X1 XDRIVE28I,BMW,2023,FL - MIAMI CENTRAL
21,65394004,111.021,Automatic,Gas,Front-wheel,2015 CHEVROLET SONIC LTZ,Chevrolet,2015,PA - SCRANTON
22,65981374,129.586,Automatic,Gas,4x4,2017 FORD ESCAPE TITANIUM,Ford,2017,MT - HELENA
23,66156504,80.876,Automatic,Gas,All,2021 SUBARU IMPREZA PREMIUM,Subaru,2021,NC - MEBANE
24,66624664,32.11,Automatic,Gas,All,2022 LAND ROVER RANGE ROVER SPORT HSE SILVER EDITION,Land,2022,FL - MIAMI CENTRAL
25,66624724,28.07,Automatic,Gas,Front-wheel,2023 TOYOTA HIGHLANDER L,Toyota,2023,FL - MIAMI CENTRAL
26,67109364,131.42,Automatic,Flexible,Rear-wheel,2016 CHRYSLER 300 S,Chrysler,2016,AL - MONTGOMERY
27,67420444,26.949,Automatic,Gas,Front-wheel,2023 TOYOTA COROLLA CROSS LE,Toyota,2023,FL - MIAMI CENTRAL
28,67800724,32.64,Automatic,Gas,Front-wheel,2023 NISSAN SENTRA SV,Nissan,2023,NJ - GLASSBORO WEST
29,67891414,118.029,Automatic,Gas,Front-wheel,2018 HYUNDAI SONATA SE,Hyundai,2018,TN - MEMPHIS
30,67980054,26.841,Automatic,Gas,All,2024 MAZDA CX-90 PREFERRED PLUS,Mazda,2024,FL - ORLANDO SOUTH
31,67980164,58.841,Automatic,Flexible,Front-wheel,2022 CHRYSLER PACIFICA TOURING L,Chrysler,2022,FL - ORLANDO SOUTH
32,68150174,27.089,Automatic,Gas,All,2023 TOYOTA RAV4 XLE,Toyota,2023,NJ - GLASSBORO WEST
33,68150214,22.088,Automatic,Gas,Front-wheel,2024 VOLKSWAGEN ATLAS SE,Volkswagen,2024,FL - ORLANDO SOUTH
34,68150264,30.035,Automatic,Gas,Front-wheel,2023 TOYOTA CAMRY LE,Toyota,2023,NJ - GLASSBORO WEST
35,68150274,25.867,Automatic,Gas,All,2023 TOYOTA COROLLA CROSS LE,Toyota,2023,NJ - GLASSBORO WEST
36,68374504,88.904,Automatic,Flexible,Rear-wheel,2020 DODGE CHALLENGER SXT,Dodge,2020,AL - BIRMINGHAM
37,68391144,32.195,Automatic,Gas,All,2023 MAZDA CX-30 PREFERRED,Mazda,2023,NJ - GLASSBORO WEST
38,68391154,26.627,Automatic,Gas,Front-wheel,2023 CHEVROLET TRAILBLAZER LT,Chevrolet,2023,NJ - GLASSBORO WEST
39,68391194,31.475,Automatic,Gas,Front-wheel,2023 TOYOTA CAMRY LE,Toyota,2023,NJ - GLASSBORO WEST
40,64718284,20.025,Automatic,Gas,All,2023 BMW X1 XDRIVE28I,BMW,2023,FL - MIAMI CENTRAL
41,65394004,111.021,Automatic,Gas,Front-wheel,2015 CHEVROLET SONIC LTZ,Chevrolet,2015,PA - SCRANTON
42,65981374,129.586,Automatic,Gas,4x4,2017 FORD ESCAPE TITANIUM,Ford,2017,MT - HELENA
43,66156504,80.876,Automatic,Gas,All,2021 SUBARU IMPREZA PREMIUM,Subaru,2021,NC - MEBANE
44,66624664,32.11,Automatic,Gas,All,2022 LAND ROVER RANGE ROVER SPORT HSE SILVER EDITION,Land,2022,FL - MIAMI CENTRAL
45,66624724,28.07,Automatic,Gas,Front-wheel,2023 TOYOTA HIGHLANDER L,Toyota,2023,FL - MIAMI CENTRAL
46,67109364,131.42,Automatic,Flexible,Rear-wheel,2016 CHRYSLER 300 S,Chrysler,2016,AL - MONTGOMERY
47,67420444,26.949,Automatic,Gas,Front-wheel,2023 TOYOTA COROLLA CROSS LE,Toyota,2023,FL - MIAMI CENTRAL
48,67800724,32.64,Automatic,Gas,Front-wheel,2023 NISSAN SENTRA SV,Nissan,2023,NJ - GLASSBORO WEST
49,67891414,118.029,Automatic,Gas,Front-wheel,2018 HYUNDAI SONATA SE,Hyundai,2018,TN - MEMPHIS
50,67980054,26.841,Automatic,Gas,All,2024 MAZDA CX-90 PREFERRED PLUS,Mazda,2024,FL - ORLANDO SOUTH
51,67980164,58.841,Automatic,Flexible,Front-wheel,2022 CHRYSLER PACIFICA TOURING L,Chrysler,2022,FL - ORLANDO SOUTH
52,68150174,27.089,Automatic,Gas,All,2023 TOYOTA RAV4 XLE,Toyota,2023,NJ - GLASSBORO WEST
53,68150214,22.088,Automatic,Gas,Front-wheel,2024 VOLKSWAGEN ATLAS SE,Volkswagen,2024,FL - ORLANDO SOUTH
54,68150264,30.035,Automatic,Gas,Front-wheel,2023 TOYOTA CAMRY LE,Toyota,2023,NJ - GLASSBORO WEST
55,68150274,25.867,Automatic,Gas,All,2023 TOYOTA COROLLA CROSS LE,Toyota,2023,NJ - GLASSBORO WEST
56,68374504,88.904,Automatic,Flexible,Rear-wheel,2020 DODGE CHALLENGER SXT,Dodge,2020,AL - BIRMINGHAM
57,68391144,32.195,Automatic,Gas,All,2023 MAZDA CX-30 PREFERRED,Mazda,2023,NJ - GLASSBORO WEST
58,68391154,26.627,Automatic,Gas,Front-wheel,2023 CHEVROLET TRAILBLAZER LT,Chevrolet,2023,NJ - GLASSBORO WEST
59,68391194,31.475,Automatic,Gas,Front-wheel,2023 TOYOTA CAMRY LE,Toyota,2023,NJ - GLASSBORO WEST
60,64718284,20.025,Automatic,Gas,All,2023 BMW X1 XDRIVE28I,BMW,2023,FL - MIAMI CENTRAL
