,lot_number,miles,transmission,fuel,drive,name,make,year,auction
0,38174294,128.279,Automatic,Gas,Front-wheel,2014 JEEP CHEROKEE SPORT,Jeep,2014,TN - MEMPHIS
1,44525704,140.411,Automatic,Gas,Front-wheel,2016 FORD ESCAPE SE,Ford,2016,TX - HOUSTON
2,51071234,123.593,Automatic,Gas,Rear-wheel,2020 CHEVROLET TAHOE C1500 LS,Chevrolet,2020,AL - BIRMINGHAM
3,53175864,18.593,Automatic,Gas,Rear-wheel,2024 BMW X5 SDRIVE 40I,BMW,2024,FL - MIAMI CENTRAL
4,54093354,21.147,Automatic,Gas,Rear-wheel,2024 BMW X5 SDRIVE 40I,BMW,2024,TX - DALLAS SOUTH
5,56419514,31.191,Automatic,Gas,Front-wheel,2020 TOYOTA COROLLA LE,Toyota,2020,FL - TAMPA SOUTH
6,57783994,21.268,Automatic,Gas,All,2024 BMW X6 XDRIVE40I,BMW,2024,CA - VAN NUYS
7,60530624,74.941,Automatic,Gas,Rear-wheel,2021 CHEVROLET TAHOE C1500 PREMIER,Chevrolet,2021,NJ - GLASSBORO WEST
8,62651474,116.136,Automatic,Gas,All,2017 FORD FUSION SE,Ford,2017,PA - YORK HAVEN
9,63146914,37.561,Automatic,Gas,All,2023 BMW X7 XDRIVE40I,BMW,2023,FL - MIAMI CENTRAL
10,63725054,19.203,Automatic,Gas,All,2024 BMW X6 XDRIVE40I,BMW,2024,TX - DALLAS SOUTH
11,63725144,15.571,Automatic,Gas,All,2024 BMW 530 XI,BMW,2024,FL - MIAMI CENTRAL
12,63725164,17.825,Automatic,Gas,Rear-wheel,2023 BMW 740 I,BMW,2023,CA - VAN NUYS
13,63725204,13.592,Automatic,Electric,Rear-wheel,2024 BMW I4 EDRIVE 40,BMW,2024,CA - VAN NUYS
14,63931194,28.596,Automatic,Gas,All,2024 BMW 430XI,BMW,2024,CA - VAN NUYS
15,64120484,17.352,Automatic,Gas,Rear-wheel,2024 BMW 740 I,BMW,2024,CA - VAN NUYS
16,64120614,41.996,Automatic,Gas,Rear-wheel,2023 BMW X5 SDRIVE 40I,BMW,2023,CA - VAN NUYS
17,64120644,13.35,Automatic,Hybrid,All,2024 BMW XM,BMW,2024,TX - DALLAS SOUTH
18,64520784,27.814,Automatic,Gas,All,2024 MAZDA CX-90 PREFERRED,Mazda,2024,CA - VAN NUYS
19,64671414,12.158,Automatic,Gas,Front-wheel,2021 NISSAN ROGUE SV,Nissan,2021,GA - SAVANNAH
20,64718114,23.947,Automatic,Gas,All,2023 BMW 530 XI,BMW,2023,CA - VAN NUYS
21,64718154,22.786,Automatic,Gas,Rear-wheel,2023 BMW 228I,BMW,2023,CA - VAN NUYS
22,64718264,23.152,Automatic,Gas,Rear-wheel,2024 BMW X5 SDRIVE 40I,BMW,2024,FL - MIAMI CENTRAL
23,64718274,27.335,Automatic,Gas,All,2023 BMW X3 XDRIVE30I,BMW,2023,FL - MIAMI CENTRAL
24,64718284,20.025,Automatic,Gas,All,2023 BMW X1 XDRIVE28I,BMW,2023,FL - MIAMI CENTRAL
25,65394004,111.021,Automatic,Gas,Front-wheel,2015 CHEVROLET SONIC LTZ,Chevrolet,2015,PA - SCRANTON
26,65805804,18.68,Automatic,Gas,Front-wheel,2020 FORD ECOSPORT SE,Ford,2020,AL - MONTGOMERY
27,65968274,98.621,Automatic,Flexible,Front-wheel,2016 CHRYSLER TOWN & COUNTRY TOURING L,Chrysler,2016,NC - GASTONIA
28,65981374,129.586,Automatic,Gas,4x4,2017 FORD ESCAPE TITANIUM,Ford,2017,MT - HELENA
29,66156504,80.876,Automatic,Gas,All,2021 SUBARU IMPREZA PREMIUM,Subaru,2021,NC - MEBANE
30,66624704,62.884,Automatic,Flexible,Front-wheel,2022 CHRYSLER PACIFICA TOURING L,Chrysler,2022,FL - MIAMI CENTRAL
31,66624724,28.07,Automatic,Gas,Front-wheel,2023 TOYOTA HIGHLANDER L,Toyota,2023,FL - MIAMI CENTRAL
32,66819064,26.309,Automatic,Gas,All,2023 TOYOTA HIGHLANDER L,Toyota,2023,FL - MIAMI CENTRAL
33,66819114,18.101,Automatic,Gas,Rear-wheel,2024 BMW 430I GRAN COUPE,BMW,2024,FL - MIAMI CENTRAL
34,67109364,131.42,Automatic,Flexible,Rear-wheel,2016 CHRYSLER 300 S,Chrysler,2016,AL - MONTGOMERY
35,67420444,26.949,Automatic,Gas,Front-wheel,2023 TOYOTA COROLLA CROSS LE,Toyota,2023,FL - MIAMI CENTRAL
36,67586004,125.417,Automatic,Hybrid,Front-wheel,2016 TOYOTA PRIUS C,Toyota,2016,MS - JACKSON
37,67607174,53.946,Automatic,Hybrid,All,2020 TOYOTA HIGHLANDER HYBRID XLE,Toyota,2020,NC - CHINA GROVE
38,67612634,22.752,Automatic,Gas,All,2023 BMW X3 XDRIVE30I,BMW,2023,FL - MIAMI CENTRAL
39,67800724,32.64,Automatic,Gas,Front-wheel,2023 NISSAN SENTRA SV,Nissan,2023,NJ - GLASSBORO WEST
40,67800754,30.929,Automatic,Gas,All,2023 TOYOTA RAV4 XLE,Toyota,2023,FL - ORLANDO SOUTH
41,67800784,3.444,Automatic,Gas,All,2024 BMW 530 XI,BMW,2024,NJ - GLASSBORO WEST
42,67884514,48.262,Automatic,Flexible,Rear-wheel,2022 DODGE CHARGER GT,Dodge,2022,CA - VAN NUYS
43,67884874,40.745,Automatic,Flexible,Rear-wheel,2022 DODGE CHARGER SXT,Dodge,2022,CA - VAN NUYS
44,67885094,48.046,Automatic,Flexible,Rear-wheel,2022 DODGE CHARGER SXT,Dodge,2022,CA - VAN NUYS
45,67885644,41.753,Automatic,Gas,Front-wheel,2023 KIA SOUL LX,KIA,2023,CA - VAN NUYS
46,67885724,42.936,Automatic,Flexible,Rear-wheel,2023 CHRYSLER 300 TOURING,Chrysler,2023,CA - VAN NUYS
47,67885994,51.473,Automatic,Gas,Front-wheel,2023 HYUNDAI ELANTRA SEL,Hyundai,2023,CA - VAN NUYS
48,67886254,47.567,Automatic,Gas,Front-wheel,2023 KIA FORTE LX,KIA,2023,CA - VAN NUYS
49,67891414,118.029,Automatic,Gas,Front-wheel,2018 HYUNDAI SONATA SE,Hyundai,2018,TN - MEMPHIS
