,lot_number,miles,transmission,fuel,drive,name,make,year,auction
0,66579484,129.999,Automatic,Gas,Front-wheel,2018 HYUNDAI ELANTRA SEL,ELANTRA,2018,MS - GRENADA
1,44525704,140.411,Automatic,Gas,Front-wheel,2016 FORD ESCAPE SE,ESCAPE,2016,TX - HOUSTON
2,51071234,123.593,Automatic,Gas,Rear-wheel,2020 CHEVROLET TAHOE C1500 LS,TAHOE,2020,AL - BIRMINGHAM
3,53175864,18.593,Automatic,Gas,Rear-wheel,2024 BMW X5 SDRIVE 40I,X5,2024,FL - MIAMI CENTRAL
4,56419514,31.191,Automatic,Gas,Front-wheel,2020 TOYOTA COROLLA LE,COROLLA,2020,FL - TAMPA SOUTH
5,57783994,21.268,Automatic,Gas,All,2024 BMW X6 XDRIVE40I,X6,2024,CA - VAN NUYS
6,60530624,74.941,Automatic,Gas,Rear-wheel,2021 CHEVROLET TAHOE C1500 PREMIER,TAHOE,2021,NJ - GLASSBORO WEST
7,62651474,116.136,Automatic,Gas,All,2017 FORD FUSION SE,FUSION,2017,PA - YORK HAVEN
8,63725144,15.571,Automatic,Gas,All,2024 BMW 530 XI,530,2024,FL - MIAMI CENTRAL
9,63725164,17.825,Automatic,Gas,Rear-wheel,2023 BMW 740 I,740,2023,CA - VAN NUYS
10,63725204,13.592,Automatic,Electric,Rear-wheel,2024 BMW I4 EDRIVE 40,I4,2024,CA - VAN NUYS
